gene_symbol	GSM1624229	GSM1868813	GSM1868814	GSM1868819	GSM1868820	GSM1868821	GSM1868816	GSM1868810	GSM1624232	GSM1624230	GSM1624236	GSM1868817	GSM1868823	GSM1868818	GSM1624227	GSM1624223	GSM1868822	GSM1868815	GSM1868812	GSM1624235	GSM1624233	GSM1868811	GSM1624225	GSM1624226	GSM1624237	GSM1624222	GSM1624228	GSM1624234	GSM1624231	GSM1624224
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	15	0	0	30	18	8	0	0	0	0	0	2	0	0	223	0	0	0	19	3	2	0	73	0	5	0	0	244	4	0
AAED1	322	60	43	153	29	83	9	1583	1404	254	171	1450	16	0	16	542	126	237	603	14	118	93	13	174	110	42	9	24	5	6
AAGAB	93	977	0	260	2	73	719	0	3	21	1675	0	161	1837	5	1112	6	1	0	1388	1	1917	49	0	38	2575	0	87	0	525
AAK1	6119	122	582	204	469	1608	1309	2012	1334	742	504	344	174	9	346	117	129	739	334	439	2012	231	221	274	117	1843	88	279	96	70
AAMDC	271	514	85	29	408	77	28	91	6	9	20	108	14	1379	28	314	808	19	33	38	31	174	6	6	69	62	62	4	10	343
AAMP	7289	7274	22	2229	1081	6532	2617	2583	1538	1435	905	131	1919	69	2318	233	2112	4829	9	1799	4323	2800	5868	488	81	13138	3046	689	1322	4345
AANAT	0	0	0	0	0	0	1	0	1	1	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	346	21	71	743	603	32	1284	3001	2098	424	582	8	60	1	3590	620	1980	924	0	33	4279	4526	1894	16	173	2732	1	26	117	1233
AARD	69	11	29	4	5	31	17	20	65	50	25	13	24	2	2	48	1	10	28	41	39	45	30	20	25	76	28	1	5	66
AARS	5596	2261	3216	6	3358	41	3742	1419	1652	448	1669	0	4646	53	1231	23	54	519	3622	474	937	1359	1974	437	14	2713	0	664	1132	162
AARS2	124	7	719	299	1765	1224	4	1355	5	78	12	1036	1	0	1	43	13	10	3	24	30	2	2	12	177	15	79	0	3	296
AARSD1	1482	3448	20	673	1163	2309	756	2582	3011	931	37	23	11	4235	45	1238	3034	2610	59	25	1332	750	14487	1276	336	2240	307	251	7	2105
AARSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	0	1653	0	0	0	0	276	44	916	432	99	868	8	0	0	28	0	0	10	99	49	0	1816	0	41	0	0	30	0	629
AASDHPPT	725	6420	504	41	0	0	2488	2	778	1161	723	1348	4323	4233	10	3945	924	1236	2586	0	722	483	1322	1586	0	363	0	461	0	570
AASS	887	6	62	2155	7	2931	734	1	1803	114	416	3	4696	0	97	1069	1171	140	27	7	1081	1936	10	0	0	482	6	69	9	54
AATF	11136	134	2664	46	6	0	920	1728	142	1228	1224	0	2	0	2042	2654	3096	1586	3358	2802	2236	0	4642	1688	18	1708	1172	1392	840	1528
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019438.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019441.29	10	4	8	4	10	4	4	88	12	8	6	8	6	10	2	2	2	16	10	8	2	4	16	2	0	22	2	8	0	6
ABAT	116	14	70	17	1	126	30	69	2	14	13	26	202	1724	19	30	16	16	96	62	44	28	5	35	23	31	0	4	5	2
ABBA01000934.1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47964100C23.1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC13-47488600E17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC13-47656900H15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC13-48559800H2.1	3	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ABC13-48559800H2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC14-864958H18.2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-42391500H16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-42404400C24.1	130	4	25	20	18	9	23	72	30	20	16	38	31	0	32	47	10	24	59	68	0	16	17	62	23	0	2	4	0	54
ABC7-42418200C9.1	56	1	4	0	1	3	2	7	0	14	8	0	1	0	0	3	2	0	7	4	13	2	11	0	0	0	18	0	0	0
ABC7-481722F1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ABC8-43014700C16.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC9-43961700F1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	1	252	999	341	16235	4289	0	2175	479	0	0	0	1022	1	0	0	14880	0	1	0	0	1324	0	0	0	0	0	0	0	0
ABCA10	36	7	51	19	43	60	0	0	4	0	0	41	44	8	0	0	16	1	0	23	19	40	0	0	0	20	0	0	2	0
ABCA11P	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	749	0	9	0	513	209	530	0	0	0	455	0	9	18	0
ABCA12	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	5	43	16	26	74	165	4	21	25	17	22	126	30	0	11	34	2	0	23	61	16	21	21	40	10	11	45	0	3	1
ABCA17P	18	16	10	5	4	1	6	3	44	10	1	1	25	0	0	4	319	1	0	15	7	1	1	7	1	5	142	0	0	6
ABCA2	36	26	21	0	9	0	1	18	0	3	1	1	1	2	0	7	0	3	61	6	13	1	8	0	4	2	0	0	2	25
ABCA3	0	7	0	0	0	0	0	0	0	0	0	1785	0	0	0	0	11	0	0	0	0	0	0	0	3	0	0	0	0	0
ABCA4	0	0	0	0	0	0	0	0	0	0	42	0	1	0	0	0	0	23	0	0	0	0	0	998	143	0	0	0	0	0
ABCA5	40	0	47	3	11	53	50	33	4	0	10	2	6	0	605	13	55	14	49	36	15	30	11	16	15	33	0	6	6	16
ABCA6	205	30	45	28	0	118	7	95	6	7	25	15	21	0	4	24	1	4	9	83	23	120	111	5	20	38	171	0	4	21
ABCA7	282	0	4	16	0	0	0	11	0	0	0	0	0	0	73	0	0	3	0	0	21	1	0	0	6	5	0	3	0	3
ABCA8	102	4	55	43	15	35	4	7	5	8	7	15	21	0	8	13	11	12	6	6	9	16	0	3	22	46	2	8	5	50
ABCA9	252	72	67	91	50	136	79	65	98	60	21	3	130	0	62	75	77	64	90	75	116	173	36	11	78	89	4	4	37	11
ABCB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB10	2	0	1	0	0	74	976	0	0	48	106	0	0	0	0	0	693	45	715	0	223	924	916	0	0	0	0	275	0	0
ABCB10P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	14	0	0	0	0
ABCB5	118	4	66	11	6	28	5	34	9	13	61	39	5	6	43	27	30	6	8	52	26	249	6	1	22	49	18	3	0	6
ABCB6	99	920	2813	721	0	114	327	493	85	554	613	2	16	0	711	10	517	213	440	105	1884	588	58	517	70	1513	0	382	3	0
ABCB7	0	0	0	664	329	82	1059	2337	971	0	0	0	4	17	344	0	1398	342	3006	0	431	983	1883	395	0	0	0	0	0	0
ABCB8	1641	184	1054	25	1356	99	4	1709	510	15	446	3700	114	6144	2	3	163	497	259	18	17	305	492	6	78	6	0	0	0	0
ABCB9	257	72	484	79	108	79	48	55	59	60	42	53	39	0	89	38	50	53	153	222	119	89	68	46	21	134	1	3	256	15
ABCC1	11	0	0	308	0	105	0	19	2	148	158	2	18	0	0	14	0	10	0	4	200	14	2	2	3	12	0	2	2	689
ABCC10	155	366	388	177	52	261	11	146	52	171	7	304	57	3	83	42	64	28	136	64	443	753	21	49	88	34	79	0	25	309
ABCC11	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3	0	0	13	0	14	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	157	10	14	16	10	43	19	1	2	4	4	3	1	0	0	0	2	1	33	19	12	15	10	0	4	38	1	1	6	11
ABCC2	16	0	510	0	460	33	1	1	1	1	3	8	0	4	2	24	31	0	20	0	1	627	0	5	6	2	2	0	3	0
ABCC3	169	24	134	48	6	57	54	59	40	47	29	52	28	1	66	26	20	19	2	113	67	33	33	35	58	72	1	5	17	13
ABCC4	216	1431	17	66	5	16	1	2	62	23	1329	58	4	25	0	347	0	729	3	9	39	0	644	0	55	110	0	2	1	5
ABCC5	34	1953	15	1236	1	664	4	42	1193	32	421	0	3	5263	768	937	0	1271	0	6	1788	1109	761	712	103	551	4597	512	920	550
ABCC6	234	6	23	30	20	12	30	24	56	23	19	42	27	5	67	33	21	3	65	56	38	13	0	264	37	45	0	0	8	22
ABCC6P1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0
ABCC9	254	276	421	188	117	509	97	825	674	43	49	259	93	11	78	26	266	34	934	234	187	288	65	34	306	295	1	38	26	6
ABCD1	8	0	0	0	0	0	0	0	0	0	23	0	0	0	8	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0
ABCD1P2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	3087	20	1374	5	210	0	2	998	1384	1339	414	2	0	0	0	1813	0	948	0	18	1541	116	3096	181	12	3327	0	463	218	2293
ABCD4	955	49	285	19	32	52	696	3632	1693	33	20	34	98	1	2	32	34	32	115	74	126	271	708	5	44	40	1106	49	19	23
ABCE1	5767	9986	28	1911	711	3333	5886	3685	2871	1683	4502	825	15	5133	878	3144	4509	3042	2670	6781	5665	3055	8129	1059	36	4378	1865	2295	5	1108
ABCF1	8179	3901	1072	1150	4149	1033	1546	3621	1075	1592	1208	3140	2369	2013	1997	2393	822	1411	3491	7660	7377	3980	3130	5438	299	6552	640	1282	1217	2570
ABCF2	4095	5074	34	32	10	14	55	2426	2271	1739	3051	2	5441	2937	3265	1528	5	1553	6247	4723	7092	3679	8880	3989	92	9829	78	2035	984	892
ABCF2P1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	2021	1733	2	933	838	383	0	3806	1691	391	715	404	3525	1457	1672	845	0	260	1559	1203	796	940	2967	463	187	2628	0	196	0	1554
ABCG1	33	0	91	0	0	25	6	0	0	4	14	174	39	0	0	19	36	0	43	8	5	0	2	6	7	8	0	4	2	22
ABCG2	2830	1	0	0	0	0	1840	0	0	2161	2207	0	0	2	1708	0	2781	3298	0	2433	3270	0	2472	5988	66	1975	0	1072	104	2909
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ABCG5	93	0	7	0	0	4	0	0	9	5	0	2	1	0	0	0	0	0	1	2	17	1	0	0	9	17	0	0	1	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	42	38	29	34	27	92	5	66	163	15	20	151	29	0	53	52	0	23	3	55	32	46	4	12	29	46	111	1	0	13
ABHD10	650	1258	0	25	0	1949	0	0	105	379	0	1162	0	0	0	0	113	0	786	0	0	72	1293	0	0	50	0	154	0	158
ABHD11	1458	23	160	902	43	116	507	30	12	573	713	76	25	0	2620	35	14	1500	95	44	55	25	2127	949	26	1333	2838	284	534	26
ABHD12	2907	0	399	488	2120	0	25	695	0	283	14	558	0	0	618	626	83	346	3	0	66	119	272	88	12	139	0	145	26	277
ABHD12B	929	915	1268	1947	6769	9339	268	1481	1758	98	83	1585	8095	1174	89	279	3578	274	845	239	203	766	491	195	35	915	559	250	42	61
ABHD13	1568	0	0	33	0	0	0	248	725	0	0	48	592	0	100	6	0	512	0	0	0	1036	0	0	1	0	0	0	58	0
ABHD14A	879	158	405	15	33	63	64	2	10	16	9	3	2	0	1	10	13	1	1	15	9	3	1120	4	4	0	22	150	1	0
ABHD14A-ACY1	5	0	25	0	27	77	0	28	0	0	0	0	0	0	0	270	0	0	0	1	3	88	0	0	0	0	0	0	0	0
ABHD14B	0	1	12	0	1	2	3	197	0	0	0	0	0	7	78	0	0	0	0	18	0	7	0	0	14	0	0	0	0	0
ABHD15	87	508	179	35	0	15	10	13	35	20	38	15	34	0	0	34	0	4	757	8	3	106	10	0	24	490	23	1	1	0
ABHD16A	525	1031	1463	36	0	0	0	2578	1180	495	362	0	1949	0	0	375	0	0	745	1002	402	0	42	0	45	165	0	0	0	0
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	265	0	11	0	4	4	0	0	2	8	0	0	0	12	4	19	2	44	0	2	8	0	0	0	19	3	0	0	5	0
ABHD17AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0
ABHD17AP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
ABHD17AP5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	95	7	191	89	57	173	2	21	27	49	0	33	1	0	0	0	517	107	50	192	543	2	5	37	2	16	106	2	0	550
ABHD17C	4232	311	2002	10	2	39	132	70	0	417	190	0	5	104	36	0	1528	881	1	293	934	0	383	0	15	1509	0	35	21	673
ABHD18	775	719	283	1594	267	71	648	274	269	421	286	165	8	0	116	659	2711	400	2158	527	672	628	32	40	92	43	162	11	622	509
ABHD2	95	41	46	881	809	9	14	10	3	34	124	68	4	0	44	195	46	3	11	107	23	80	19	14	21	51	5	2	6	23
ABHD3	1016	10	1	4	0	50	26	657	6	102	423	0	942	0	185	1223	13	0	0	109	2212	11	0	0	120	268	0	103	0	330
ABHD4	768	702	0	0	12	0	0	324	0	16	0	0	0	0	0	0	0	42	1	0	1337	0	1547	488	1	122	0	52	0	0
ABHD5	2205	3	486	6	74	0	6	75	2389	288	664	0	6	1	1104	1028	1959	2487	3446	1144	187	1205	1091	0	0	99	0	502	0	1637
ABHD6	212	30	727	0	4	19	9	994	1101	1	0	59	0	5461	1	447	16	8	0	31	12	564	0	1	58	580	10384	4	10	0
ABHD8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	8	0	9	0	0
ABI1	2753	4041	158	1948	2320	135	1414	2807	1366	1458	732	0	3277	44	793	315	716	884	4757	3237	3317	1761	1623	820	0	2187	6	540	10	186
ABI2	392	30	148	29	50	2478	66	83	191	76	171	1919	111	18	54	61	960	399	148	184	67	109	766	84	67	113	62	3	11	35
ABI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	12	0	35	98	87	133	52	107	13	4	10	3	38	0	0	1	3	0	7	18	1	35	35	0	10	1	2	8	13	0
ABL1	1	2	0	0	2339	883	0	373	401	114	8	1330	3	0	0	0	243	431	229	0	57	114	0	1	17	0	0	0	0	0
ABL2	1164	14	163	466	110	1754	157	756	64	178	42	37	275	16	424	1356	167	35	227	65	197	139	436	1536	177	50	27	79	10	81
ABLIM1	0	5	0	14	15	0	1	0	1	0	0	1	0	3	0	0	1	0	29	9	0	17	0	0	8	4	0	0	0	0
ABLIM2	0	0	0	0	0	1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM3	0	0	0	0	0	0	0	0	1	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
ABO	30	15	55	49	32	44	30	1	53	35	11	12	5	0	40	31	4	9	120	82	8	393	0	0	18	45	0	1	1	19
ABR	380	29	34	21	7141	1640	53	48	14	60	427	163	5458	2090	95	629	10	832	23	695	653	18	1010	12	257	3578	957	64	50	3
ABRA	4	0	105	0	0	5	0	0	1	0	0	0	14	0	16	0	4	0	21	0	24	9	0	0	0	0	0	0	0	15
ABRACL	2681	695	0	4626	3130	2712	0	2446	693	1138	248	32	852	0	0	5880	821	1497	1	159	1448	486	3037	87	98	306	0	530	147	628
ABT1	5340	6667	1887	1027	5769	400	607	1473	6279	2249	1535	3327	2855	3317	2830	2536	0	3242	2656	1190	4865	12	5562	1319	16	4967	352	389	500	3322
ABT1P1	0	0	3	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABTB1	0	0	0	452	0	0	0	0	0	0	0	2	0	0	649	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
ABTB2	0	0	2	36	0	0	6	25	256	0	0	0	0	297	7	17	808	152	0	0	0	176	0	0	0	0	0	0	0	5
AC000041.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000041.8	0	0	0	0	0	0	17	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000077.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000078.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000081.2	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000089.3	12	1	1	2	4	0	0	7	12	3	0	4	6	3	5	1	4	15	9	14	4	7	3	1	0	14	0	7	0	0
AC000095.12	28	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0
AC000095.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	124	52	10	27	6	1860	54	42	0	9	30	9	5	46	10	2	9	23	80	37	14	27	12	2	23	21	2	13	0	15
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002056.3	4	0	0	0	2	0	2	0	0	0	0	0	2	8	0	4	0	6	0	0	0	2	6	4	0	8	0	0	0	2
AC002069.5	7	3	2	0	5	0	0	0	3	1	0	0	0	7	0	1	0	2	0	2	2	0	4	1	0	1	0	1	0	0
AC002069.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.4	34	9	1	2	7	24	3	6	6	6	0	18	5	2	2	0	15	4	3	15	1	6	14	1	1	3	0	1	2	0
AC002127.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.10	0	4	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC002310.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.17	21	206	0	0	1	1	3	1	6	4	4	14	3	18	1	0	6	8	7	4	2	6	21	11	0	23	2	2	4	4
AC002314.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0
AC002366.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002398.9	0	0	0	0	0	0	2	0	0	109	8	0	0	0	0	0	0	0	0	0	186	0	475	579	0	381	0	0	0	0
AC002400.1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	15	0
AC002429.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.5	21	6	6	27	1	6	24	3	6	4	81	1	0	0	25	16	0	0	2	123	0	1	164	0	5	88	0	0	1	0
AC002486.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002486.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002519.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002523.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002543.2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
AC002553.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002984.2	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AC002985.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
AC003002.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
